sourceStage,destinationStage
Manuf_0006,Manuf_0025
Manuf_0007,Manuf_0025
Manuf_0008,Manuf_0025
Manuf_0009,Manuf_0025
Manuf_0010,Manuf_0025
Manuf_0011,Manuf_0027
Manuf_0012,Manuf_0029
Manuf_0013,Manuf_0030
Manuf_0014,Manuf_0031
Manuf_0015,Manuf_0032
Manuf_0016,Manuf_0033
Manuf_0017,Manuf_0034
Manuf_0018,Manuf_0035
Manuf_0019,Manuf_0036
Manuf_0020,Manuf_0037
Manuf_0021,Manuf_0038
Manuf_0022,Manuf_0039
Manuf_0023,Manuf_0040
Manuf_0024,Manuf_0041
Manuf_0025,Manuf_0042
Manuf_0026,Manuf_0043
Manuf_0027,Manuf_0044
Manuf_0028,Manuf_0045
Manuf_0029,Manuf_0046
Manuf_0030,Manuf_0047
Manuf_0031,Manuf_0048
Manuf_0032,Manuf_0049
Manuf_0033,Manuf_0050
Manuf_0034,Manuf_0051
Manuf_0035,Manuf_0052
Manuf_0036,Manuf_0053
Manuf_0037,Manuf_0054
Manuf_0038,Manuf_0055
Manuf_0039,Manuf_0056
Manuf_0040,Manuf_0057
Manuf_0041,Manuf_0058
Manuf_0042,Manuf_0059
Manuf_0043,Dist_0001
Manuf_0044,Dist_0002
Manuf_0045,Dist_0003
Manuf_0046,Dist_0004
Manuf_0047,Dist_0005
Manuf_0048,Dist_0006
Manuf_0049,Dist_0007
Manuf_0050,Dist_0008
Manuf_0051,Dist_0009
Manuf_0052,Dist_0010
Manuf_0053,Dist_0011
Manuf_0054,Dist_0012
Manuf_0055,Dist_0013
Manuf_0056,Dist_0014
Manuf_0057,Dist_0015
Manuf_0058,Dist_0016
Manuf_0059,Dist_0017
Part_0001,Manuf_0001
Part_0001,Manuf_0002
Part_0001,Manuf_0003
Part_0001,Manuf_0004
Part_0001,Manuf_0014
Part_0001,Manuf_0017
Part_0001,Manuf_0018
Part_0001,Manuf_0019
Part_0001,Manuf_0020
Part_0001,Manuf_0021
Part_0001,Manuf_0022
Part_0001,Manuf_0023
Part_0001,Manuf_0024
Part_0002,Manuf_0001
Part_0002,Manuf_0002
Part_0002,Manuf_0003
Part_0002,Manuf_0004
Part_0002,Manuf_0005
Part_0002,Manuf_0006
Part_0002,Manuf_0007
Part_0002,Manuf_0008
Part_0002,Manuf_0009
Part_0002,Manuf_0010
Part_0002,Manuf_0014
Part_0002,Manuf_0017
Part_0002,Manuf_0018
Part_0002,Manuf_0019
Part_0002,Manuf_0020
Part_0002,Manuf_0021
Part_0002,Manuf_0022
Part_0002,Manuf_0023
Part_0002,Manuf_0024
Part_0003,Manuf_0001
Part_0003,Manuf_0002
Part_0003,Manuf_0003
Part_0003,Manuf_0004
Part_0003,Manuf_0014
Part_0003,Manuf_0017
Part_0003,Manuf_0018
Part_0003,Manuf_0019
Part_0003,Manuf_0020
Part_0003,Manuf_0021
Part_0003,Manuf_0022
Part_0003,Manuf_0023
Part_0003,Manuf_0024
Part_0004,Manuf_0001
Part_0004,Manuf_0002
Part_0004,Manuf_0003
Part_0004,Manuf_0004
Part_0004,Manuf_0014
Part_0004,Manuf_0017
Part_0004,Manuf_0018
Part_0004,Manuf_0019
Part_0004,Manuf_0020
Part_0004,Manuf_0021
Part_0004,Manuf_0022
Part_0004,Manuf_0023
Part_0004,Manuf_0024
Part_0005,Manuf_0005
Part_0005,Manuf_0017
Part_0005,Manuf_0018
Part_0005,Manuf_0019
Part_0005,Manuf_0020
Part_0005,Manuf_0021
Part_0005,Manuf_0022
Part_0005,Manuf_0023
Part_0005,Manuf_0024
Part_0006,Manuf_0005
Part_0006,Manuf_0006
Part_0006,Manuf_0007
Part_0006,Manuf_0008
Part_0006,Manuf_0009
Part_0006,Manuf_0010
Part_0007,Manuf_0011
Part_0007,Manuf_0012
Part_0007,Manuf_0013
Part_0008,Manuf_0011
Part_0008,Manuf_0012
Part_0008,Manuf_0013
Part_0009,Manuf_0026
Part_0009,Manuf_0027
Part_0009,Manuf_0028
Part_0009,Manuf_0029
Part_0009,Manuf_0030
Part_0010,Manuf_0026
Part_0010,Manuf_0027
Part_0010,Manuf_0028
Part_0010,Manuf_0029
Part_0010,Manuf_0030
Part_0010,Manuf_0031
Part_0010,Manuf_0032
Part_0010,Manuf_0033
Part_0010,Manuf_0034
Part_0010,Manuf_0035
Part_0010,Manuf_0036
Part_0010,Manuf_0037
Part_0010,Manuf_0038
Part_0010,Manuf_0039
Part_0010,Manuf_0040
Part_0010,Manuf_0041
Part_0010,Manuf_0042
Part_0011,Manuf_0026
Part_0012,Manuf_0026
Part_0013,Manuf_0027
Part_0014,Manuf_0027
Part_0015,Manuf_0028
Part_0016,Manuf_0028
Part_0017,Manuf_0029
Part_0018,Manuf_0029
Part_0019,Manuf_0030
Part_0020,Manuf_0030
Part_0021,Manuf_0031
Part_0022,Manuf_0031
Part_0023,Manuf_0031
Part_0023,Manuf_0032
Part_0023,Manuf_0033
Part_0023,Manuf_0034
Part_0023,Manuf_0035
Part_0023,Manuf_0036
Part_0023,Manuf_0037
Part_0023,Manuf_0038
Part_0023,Manuf_0039
Part_0023,Manuf_0040
Part_0023,Manuf_0041
Part_0023,Manuf_0042
Part_0024,Manuf_0032
Part_0025,Manuf_0032
Part_0026,Manuf_0033
Part_0027,Manuf_0033
Part_0028,Manuf_0034
Part_0029,Manuf_0034
Part_0030,Manuf_0035
Part_0031,Manuf_0035
Part_0032,Manuf_0036
Part_0033,Manuf_0036
Part_0034,Manuf_0037
Part_0035,Manuf_0037
Part_0036,Manuf_0038
Part_0037,Manuf_0038
Part_0038,Manuf_0039
Part_0039,Manuf_0039
Part_0040,Manuf_0040
Part_0041,Manuf_0040
Part_0042,Manuf_0041
Part_0043,Manuf_0041
Part_0044,Manuf_0042
Part_0045,Manuf_0042
Part_0046,Manuf_0043
Part_0046,Manuf_0044
Part_0046,Manuf_0045
Part_0046,Manuf_0046
Part_0046,Manuf_0047
Part_0046,Manuf_0048
Part_0046,Manuf_0049
Part_0046,Manuf_0050
Part_0046,Manuf_0051
Part_0046,Manuf_0052
Part_0046,Manuf_0053
Part_0046,Manuf_0054
Part_0046,Manuf_0055
Part_0046,Manuf_0056
Part_0046,Manuf_0057
Part_0046,Manuf_0058
Part_0046,Manuf_0059
Part_0047,Manuf_0043
Part_0048,Manuf_0043
Part_0048,Manuf_0044
Part_0048,Manuf_0045
Part_0048,Manuf_0046
Part_0048,Manuf_0047
Part_0048,Manuf_0048
Part_0048,Manuf_0049
Part_0048,Manuf_0050
Part_0048,Manuf_0051
Part_0048,Manuf_0052
Part_0048,Manuf_0053
Part_0048,Manuf_0054
Part_0048,Manuf_0055
Part_0048,Manuf_0056
Part_0048,Manuf_0057
Part_0048,Manuf_0058
Part_0048,Manuf_0059
Part_0049,Manuf_0043
Part_0049,Manuf_0044
Part_0049,Manuf_0045
Part_0049,Manuf_0046
Part_0049,Manuf_0047
Part_0049,Manuf_0048
Part_0049,Manuf_0049
Part_0049,Manuf_0050
Part_0049,Manuf_0051
Part_0049,Manuf_0052
Part_0049,Manuf_0053
Part_0049,Manuf_0054
Part_0049,Manuf_0055
Part_0049,Manuf_0056
Part_0049,Manuf_0057
Part_0049,Manuf_0058
Part_0049,Manuf_0059
Part_0050,Manuf_0044
Part_0051,Manuf_0045
Part_0052,Manuf_0046
Part_0053,Manuf_0047
Part_0054,Manuf_0048
Part_0055,Manuf_0048
Part_0056,Manuf_0049
Part_0057,Manuf_0049
Part_0058,Manuf_0050
Part_0059,Manuf_0050
Part_0060,Manuf_0051
Part_0061,Manuf_0051
Part_0062,Manuf_0052
Part_0063,Manuf_0052
Part_0064,Manuf_0053
Part_0065,Manuf_0053
Part_0066,Manuf_0054
Part_0067,Manuf_0054
Part_0068,Manuf_0055
Part_0069,Manuf_0055
Part_0070,Manuf_0056
Part_0071,Manuf_0057
Part_0072,Manuf_0057
Part_0073,Manuf_0058
Part_0074,Manuf_0058
Part_0075,Manuf_0059
Part_0076,Manuf_0059
