Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Part_0046,$0.40 ,3,Part,,,18,3,,,,,,,,,,,,,832,80
Part_0047,$0.03 ,3,Part,,,16,3,,,,,,,,,,,,,832,112
Part_0048,$0.18 ,3,Part,,,15,3,,,,,,,,,,,,,832,144
Part_0049,$0.03 ,3,Part,,,17,3,,,,,,,,,,,,,832,176
Part_0050,$0.06 ,3,Part,,,20,3,,,,,,,,,,,,,832,336
Part_0051,$0.04 ,3,Part,,,18,3,,,,,,,,,,,,,832,592
Part_0052,$0.05 ,3,Part,,,15,3,,,,,,,,,,,,,832,848
Part_0053,$0.04 ,3,Part,,,14,3,,,,,,,,,,,,,832,1104
Part_0054,$0.05 ,3,Part,,,13,3,,,,,,,,,,,,,848,1360
Part_0055,$0.05 ,3,Part,,,17,3,,,,,,,,,,,,,848,1392
Part_0056,$0.04 ,3,Part,,,11,3,,,,,,,,,,,,,864,1616
Part_0057,$0.04 ,3,Part,,,13,3,,,,,,,,,,,,,864,1648
Part_0058,$0.04 ,3,Part,,,22,3,,,,,,,,,,,,,864,1872
Part_0059,$0.03 ,3,Part,,,12,3,,,,,,,,,,,,,864,1904
Part_0060,$0.06 ,3,Part,,,23,3,,,,,,,,,,,,,864,2128
Part_0061,$0.03 ,3,Part,,,16,3,,,,,,,,,,,,,864,2160
Part_0062,$0.03 ,3,Part,,,19,3,,,,,,,,,,,,,864,2384
Part_0063,$0.04 ,3,Part,,,12,3,,,,,,,,,,,,,864,2416
Part_0064,$0.05 ,3,Part,,,16,3,,,,,,,,,,,,,864,2640
Part_0065,$0.02 ,3,Part,,,15,3,,,,,,,,,,,,,864,2672
Part_0066,$0.05 ,3,Part,,,13,3,,,,,,,,,,,,,864,2896
Part_0067,$0.05 ,3,Part,,,11,3,,,,,,,,,,,,,864,2928
Part_0068,$0.05 ,3,Part,,,15,3,,,,,,,,,,,,,864,3152
Part_0069,$0.03 ,3,Part,,,16,3,,,,,,,,,,,,,864,3184
Part_0070,$0.04 ,3,Part,,,15,3,,,,,,,,,,,,,864,3408
Part_0071,$0.04 ,3,Part,,,20,3,,,,,,,,,,,,,864,3664
Part_0072,$0.05 ,3,Part,,,13,3,,,,,,,,,,,,,864,3696
Part_0073,$0.05 ,3,Part,,,11,3,,,,,,,,,,,,,864,3920
Part_0074,$0.02 ,3,Part,,,10,3,,,,,,,,,,,,,864,3952
Part_0075,$0.05 ,3,Part,,,19,3,,,,,,,,,,,,,864,4176
Part_0076,$0.03 ,3,Part,,,16,3,,,,,,,,,,,,,864,4208
Retail_0001,$0.00 ,0,Retail,253.56,260.71,5,,,,,,,,,,,,,,1472,48
Retail_0002,$0.00 ,0,Retail,62.29,141.47,1,,,,,,,,,,,,,,1472,176
Retail_0003,$0.00 ,0,Retail,140.61,132.34,5,,,,,,,,,,,,,,1472,304
Retail_0004,$0.00 ,0,Retail,149.46,250.35,1,,,,,,,,,,,,,,1472,432
Retail_0005,$0.00 ,0,Retail,223.52,190.57,5,,,,,,,,,,,,,,1472,560
Retail_0006,$0.00 ,0,Retail,323.68,667.17,1,,,,,,,,,,,,,,1472,688
Retail_0007,$0.00 ,0,Retail,129.37,96.34,5,,,,,,,,,,,,,,1472,816
Retail_0008,$0.00 ,0,Retail,344.86,660.93,1,,,,,,,,,,,,,,1472,944
Retail_0009,$0.00 ,0,Retail,139.19,155.02,5,,,,,,,,,,,,,,1472,1072
Retail_0010,$0.00 ,0,Retail,279.27,546.62,1,,,,,,,,,,,,,,1472,1200
Retail_0011,$0.00 ,0,Retail,236.01,182.50,5,,,,,,,,,,,,,,1472,1328
Retail_0012,$0.00 ,0,Retail,240.91,273.34,1,,,,,,,,,,,,,,1472,1456
Retail_0013,$0.00 ,0,Retail,289.93,284.45,5,,,,,,,,,,,,,,1472,1584
Retail_0014,$0.00 ,0,Retail,236.31,285.44,1,,,,,,,,,,,,,,1472,1712
Retail_0015,$0.00 ,0,Retail,156.04,145.93,5,,,,,,,,,,,,,,1472,1840
Retail_0016,$0.00 ,0,Retail,204.47,172.39,1,,,,,,,,,,,,,,1472,1968
Retail_0017,$0.00 ,0,Retail,82.84,82.40,5,,,,,,,,,,,,,,1472,2096
Retail_0018,$0.00 ,0,Retail,220.74,198.46,1,,,,,,,,,,,,,,1472,2224
Retail_0019,$0.00 ,0,Retail,319.21,246.70,5,,,,,,,,,,,,,,1472,2352
Retail_0020,$0.00 ,0,Retail,273.00,358.44,1,,,,,,,,,,,,,,1472,2480
Retail_0021,$0.00 ,0,Retail,145.87,150.45,5,,,,,,,,,,,,,,1472,2608
Retail_0022,$0.00 ,0,Retail,123.64,137.02,1,,,,,,,,,,,,,,1472,2736
Retail_0023,$0.00 ,0,Retail,234.71,256.68,5,,,,,,,,,,,,,,1472,2864
Retail_0024,$0.00 ,0,Retail,56.89,64.44,1,,,,,,,,,,,,,,1472,2992
Retail_0025,$0.00 ,0,Retail,298.02,399.45,5,,,,,,,,,,,,,,1472,3120
Retail_0026,$0.00 ,0,Retail,185.22,211.63,1,,,,,,,,,,,,,,1472,3248
Retail_0027,$0.00 ,0,Retail,220.30,173.20,5,,,,,,,,,,,,,,1472,3376
Retail_0028,$0.00 ,0,Retail,310.26,982.52,1,,,,,,,,,,,,,,1472,3504
Retail_0029,$0.00 ,0,Retail,171.58,127.19,5,,,,,,,,,,,,,,1472,3632
Retail_0030,$0.00 ,0,Retail,286.14,871.25,1,,,,,,,,,,,,,,1472,3760
Retail_0031,$0.00 ,0,Retail,107.46,81.73,5,,,,,,,,,,,,,,1472,3888
Retail_0032,$0.00 ,0,Retail,287.36,772.66,1,,,,,,,,,,,,,,1472,4016
Retail_0033,$0.00 ,0,Retail,172.65,171.07,5,,,,,,,,,,,,,,1472,4144
Retail_0034,$0.00 ,0,Retail,294.67,806.41,1,,,,,,,,,,,,,,1472,4272
